CLIENTNUM,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
771071958,41,F,Graduate,Single,Less than $40K,Blue,28,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215
720466383,59,M,High School,Unknown,$40K - $60K,Blue,46,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093
804424383,63,M,Unknown,Married,$60K - $80K,Blue,56,3,2,10215,1010,9205,0.843,1904,40,1,0.099
718813833,44,F,Uneducated,Single,Unknown,Blue,34,2,2,10100,0,10100,0.525,1052,18,1.571,0
806624208,47,M,High School,Married,$40K - $60K,Blue,42,0,0,4785,1362,3423,0.739,1045,38,0.9,0.285
778348233,53,M,Unknown,Married,$80K - $120K,Blue,33,2,3,2753,1811,942,0.977,1038,25,2.571,0.658
712991808,53,M,Uneducated,Married,$60K - $80K,Blue,48,5,1,2451,1690,761,1.323,1596,26,1.6,0.69
709029408,41,M,Graduate,Married,$60K - $80K,Blue,36,1,2,8923,2517,6406,1.726,1589,24,1.667,0.282
788658483,53,F,College,Married,Less than $40K,Blue,38,2,3,2650,1490,1160,1.75,1411,28,1,0.562
787937058,58,M,Graduate,Married,$80K - $120K,Blue,49,2,2,12555,1696,10859,0.519,1291,24,0.714,0.135
715318008,55,F,College,Single,Less than $40K,Blue,36,2,1,3520,1914,1606,0.51,1407,43,0.483,0.544
713962233,55,F,Graduate,Married,Less than $40K,Blue,36,2,3,3035,2298,737,1.724,1877,37,1.176,0.757
785432733,42,F,High School,Married,Less than $40K,Gold,36,3,3,15433,0,15433,0.865,966,22,1.2,0
715190283,57,F,Graduate,Unknown,$40K - $60K,Blue,49,3,2,3672,886,2786,1.32,1464,28,0.556,0.241
708300483,66,F,Doctorate,Married,Unknown,Blue,56,4,3,7882,605,7277,1.052,704,16,0.143,0.077
827111283,45,M,Graduate,Single,$80K - $120K,Blue,41,2,2,32426,578,31848,1.042,1109,28,0.474,0.018
758551608,51,M,Unknown,Married,$40K - $60K,Blue,44,1,0,6205,2204,4001,0.803,1347,28,0.556,0.355
773146383,50,F,College,Single,$40K - $60K,Silver,43,2,3,17304,2517,14787,1.449,1756,33,1.2,0.145
778493808,49,M,High School,Married,$60K - $80K,Blue,37,2,1,3906,0,3906,1.214,1756,32,1,0
720572508,38,F,Graduate,Single,Unknown,Blue,28,3,3,9830,2055,7775,0.977,1042,23,0.917,0.209
712661433,49,M,Uneducated,Single,$80K - $120K,Blue,30,2,3,34516,0,34516,1.621,1444,28,1.333,0
789172683,56,M,Doctorate,Married,$60K - $80K,Blue,45,2,0,2283,1430,853,2.316,1741,27,0.588,0.626
738406533,59,M,Doctorate,Married,$40K - $60K,Blue,52,2,2,2548,2020,528,2.357,1719,27,1.7,0.793
799723908,46,M,High School,Married,$80K - $120K,Blue,40,3,3,19458,1435,18023,0.787,1217,27,0.8,0.074
771490833,52,M,College,Single,$80K - $120K,Blue,40,1,1,4745,1227,3518,0.624,1140,40,0.6,0.259
720756708,52,F,Unknown,Married,Less than $40K,Blue,41,3,2,2622,1549,1073,1.321,1878,30,1.143,0.591
779471883,54,F,Graduate,Married,Less than $40K,Blue,40,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562
711525033,66,F,High School,Married,Less than $40K,Blue,54,4,2,3171,2179,992,1.224,1946,38,1.923,0.687
712813458,49,M,Unknown,Married,$120K +,Blue,36,2,0,19763,2517,17246,0.664,1414,35,0.25,0.127
714374133,56,M,Graduate,Married,$120K +,Blue,36,3,3,15769,0,15769,1.041,602,15,0.364,0
717891558,49,F,Graduate,Unknown,Less than $40K,Blue,36,4,2,3298,2200,1098,0.678,1052,32,0.6,0.667
716632758,49,F,Graduate,Single,Less than $40K,Blue,36,2,0,2802,2363,439,0.75,1295,40,0.6,0.843
768563658,56,M,Uneducated,Married,$40K - $60K,Blue,50,2,3,4458,1880,2578,1.107,1424,29,1.417,0.422
711427458,44,F,Graduate,Married,Unknown,Blue,35,1,2,6273,978,5295,2.275,1359,25,1.083,0.156
714091983,42,M,High School,Single,$60K - $80K,Blue,34,4,3,3336,1753,1583,0.69,1168,27,1.25,0.525
787584108,55,M,Unknown,Married,$80K - $120K,Blue,47,2,3,3436,2016,1420,0.901,1097,33,0.833,0.587
712030833,48,M,Graduate,Married,$60K - $80K,Silver,35,4,4,34516,0,34516,0.763,691,15,0.5,0
711481533,39,M,High School,Divorced,$60K - $80K,Blue,33,3,3,5926,1251,4675,0.944,1316,28,1.154,0.211
710082708,44,M,Post-Graduate,Single,$120K +,Blue,32,4,2,23957,2102,21855,0.997,1276,26,0.733,0.088
708155733,53,M,High School,Single,$120K +,Blue,44,2,2,14734,1634,13100,0.989,1289,23,0.917,0.111
788979258,51,M,Uneducated,Single,$80K - $120K,Silver,38,1,4,34516,1515,33001,0.592,1293,32,0.6,0.044
807986133,57,M,College,Married,$60K - $80K,Blue,52,3,3,6584,1817,4767,0.62,1353,35,0.667,0.276
788730933,44,F,Uneducated,Single,Less than $40K,Blue,20,3,3,2084,1468,616,1.004,1132,28,0.556,0.704
711314058,49,M,Graduate,Married,$60K - $80K,Blue,32,2,2,1687,1107,580,1.715,1670,17,2.4,0.656
717975333,50,M,Doctorate,Married,$80K - $120K,Blue,38,2,2,25300,1330,23970,1.072,837,15,2,0.053
715971108,51,M,Graduate,Single,$120K +,Blue,42,2,3,34516,1763,32753,1.266,1550,41,1.05,0.051
720096558,55,F,Graduate,Married,Less than $40K,Blue,42,3,3,2216,1034,1182,0.758,1540,36,0.286,0.467
719580033,54,M,Graduate,Unknown,$60K - $80K,Blue,43,2,3,2910,2030,880,0.769,1256,21,0.4,0.698
820582308,42,M,Uneducated,Married,$80K - $120K,Blue,37,2,2,22913,1528,21385,0.414,1394,35,0.522,0.067
789973308,44,M,College,Single,$60K - $80K,Blue,35,3,3,24312,1932,22380,1.312,1341,24,1.182,0.079
712876233,53,M,Graduate,Single,$80K - $120K,Blue,36,3,2,5272,1515,3757,0.857,1289,33,0.435,0.287
804595158,44,F,Graduate,Single,Less than $40K,Blue,36,4,2,7000,2517,4483,0.475,1112,23,1.875,0.36
714826758,37,F,Uneducated,Single,Less than $40K,Blue,29,4,2,7038,1801,5237,0.751,2339,57,0.966,0.256
779058108,49,M,Graduate,Divorced,$60K - $80K,Blue,30,1,2,2536,1823,713,0.703,1468,23,0.353,0.719
710790258,47,M,Graduate,Married,$80K - $120K,Blue,38,3,2,28904,1899,27005,0.85,1334,35,0.4,0.066
715623483,47,M,Graduate,Married,$60K - $80K,Blue,37,4,0,8567,1695,6872,1.242,1457,41,1.412,0.198
715156383,44,M,Unknown,Unknown,$120K +,Blue,36,2,2,34516,1533,32983,0.924,1603,29,0.526,0.044
711013983,55,F,Unknown,Married,$40K - $60K,Blue,45,4,3,2158,0,2158,0.585,615,12,0.714,0
755420433,59,F,Graduate,Married,Unknown,Blue,52,3,3,10133,1417,8716,0.383,1068,20,0.818,0.14
794543958,53,M,Graduate,Divorced,$80K - $120K,Blue,35,4,2,34516,1219,33297,1.129,1590,27,2,0.035
716396358,52,M,Graduate,Married,$60K - $80K,Blue,47,3,0,3085,1910,1175,0.921,1531,35,0.667,0.619
715398033,53,M,High School,Single,$120K +,Blue,35,2,1,19040,2056,16984,0.607,1212,31,0.722,0.108
711743883,43,F,Uneducated,Single,Less than $40K,Blue,35,2,3,4026,0,4026,0.483,1237,32,0.6,0
719720058,44,M,High School,Single,$60K - $80K,Blue,31,3,1,12756,837,11919,1.932,1413,14,1.8,0.066
778992108,57,M,Unknown,Married,$120K +,Blue,45,3,3,5266,0,5266,1.702,1516,29,1.636,0
717539808,51,F,High School,Single,Less than $40K,Blue,36,2,2,9930,0,9930,0.731,1276,21,1.333,0
714070758,49,M,High School,Single,$80K - $120K,Blue,38,3,0,31302,1953,29349,0.875,1564,35,2.182,0.062
714107958,45,M,Graduate,Single,$40K - $60K,Blue,36,4,3,6576,0,6576,0.579,1465,34,0.619,0
789140283,53,M,Graduate,Single,$80K - $120K,Blue,42,4,1,2664,2037,627,0.85,1286,29,0.933,0.765
715550508,45,F,Unknown,Married,Unknown,Blue,28,1,2,2535,2440,95,1.705,1312,20,1.222,0.963
719712633,64,M,Graduate,Married,Less than $40K,Blue,52,4,3,1709,895,814,1.656,1673,32,0.882,0.524
772629333,45,M,Graduate,Married,$40K - $60K,Blue,35,4,2,3454,1200,2254,0.597,1313,30,0.304,0.347
720336708,53,M,Doctorate,Married,$40K - $60K,Blue,35,3,2,3789,1706,2083,1.047,1609,42,0.68,0.45
802013583,56,M,College,Married,$120K +,Blue,50,2,0,9689,2250,7439,0.576,1158,19,0.727,0.232
711887583,47,M,Unknown,Married,$80K - $120K,Blue,37,3,3,5449,1628,3821,0.696,836,18,0.385,0.299
714778833,49,F,College,Single,Unknown,Blue,43,4,0,23032,1960,21072,0.619,1289,22,1,0.085
713843283,41,F,Unknown,Married,Unknown,Silver,34,3,3,34516,2053,32463,1.034,1487,26,0.733,0.059
779155158,53,M,Graduate,Married,$120K +,Blue,34,2,2,2940,1264,1676,0.562,1259,33,0.5,0.43
721091583,44,F,Graduate,Single,Less than $40K,Blue,32,3,3,3031,1879,1152,0.788,1298,15,1.5,0.62
713572683,44,M,High School,Unknown,$60K - $80K,Blue,25,3,0,1862,0,1862,0.883,1226,34,0.789,0
716657058,43,F,Post-Graduate,Married,Less than $40K,Blue,33,3,3,8358,926,7432,0.762,1566,37,0.542,0.111
779509983,53,M,Post-Graduate,Single,$120K +,Blue,36,1,2,34516,931,33585,0.828,1022,21,1.1,0.027
717929133,44,M,Uneducated,Married,$60K - $80K,Blue,36,2,3,14450,2440,12010,1.283,1235,30,0.667,0.169
808284783,62,F,Unknown,Married,Less than $40K,Blue,56,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0
708476808,54,M,Unknown,Divorced,$120K +,Blue,36,3,2,33791,1960,31831,0.618,1047,31,0.824,0.058
710916408,57,M,Graduate,Married,$60K - $80K,Blue,39,3,0,8466,1886,6580,0.56,1342,32,0.391,0.223
708492558,42,M,Unknown,Married,$60K - $80K,Blue,36,3,3,15088,865,14223,0.939,1107,21,1.625,0.057
799825758,42,M,High School,Divorced,$60K - $80K,Blue,36,1,2,3263,1674,1589,0.588,1251,35,0.346,0.513
718619883,54,F,Uneducated,Married,Less than $40K,Blue,36,2,2,1494,706,788,1.674,1305,24,3,0.473
711844758,48,M,Graduate,Single,$80K - $120K,Blue,35,1,0,13551,1294,12257,0.791,1388,37,1.056,0.095
714798783,49,M,Graduate,Single,$80K - $120K,Blue,36,2,2,18886,895,17991,1.826,1235,18,1.571,0.047
826762908,52,M,High School,Unknown,$80K - $120K,Blue,48,2,0,11976,1273,10703,1.024,2089,36,1.118,0.106
771894558,50,M,High School,Single,$80K - $120K,Blue,39,1,4,9964,1559,8405,1.873,1626,25,0.786,0.156
721074183,49,M,Doctorate,Married,$60K - $80K,Blue,36,6,3,24159,1196,22963,0.712,1111,24,1,0.05
715259583,53,F,High School,Married,Less than $40K,Blue,44,2,3,5362,1901,3461,0.816,1553,38,1,0.355
718414008,50,M,Graduate,Single,$120K +,Blue,36,2,2,34516,1023,33493,1.004,1064,13,0.625,0.03
719666283,55,F,Doctorate,Married,Less than $40K,Blue,36,1,0,3174,1951,1223,0.766,1243,29,0.611,0.615
714877233,53,M,High School,Married,$80K - $120K,Blue,47,2,2,12262,1836,10426,1.584,1659,38,1.533,0.15
785387883,47,F,High School,Single,$40K - $60K,Blue,41,3,3,3788,1540,2248,0.566,1594,47,0.382,0.407
771075258,55,M,College,Single,$120K +,Silver,42,3,2,34516,1527,32989,0.526,1268,42,0.355,0.044
711318033,47,M,Graduate,Single,$60K - $80K,Blue,36,2,2,2926,0,2926,0.676,1304,24,0.846,0
783554958,58,M,Graduate,Single,$120K +,Blue,52,1,0,32090,0,32090,0.567,1368,30,0.364,0
720201033,53,M,Graduate,Married,$80K - $120K,Blue,41,3,2,11669,2227,9442,0.622,720,23,0.353,0.191
718039683,52,M,High School,Single,$40K - $60K,Blue,45,1,2,13532,1300,12232,0.846,1521,29,1.417,0.096
710806083,50,F,Uneducated,Unknown,Less than $40K,Silver,36,2,2,11888,2090,9798,0.7,1137,30,0.765,0.176
714752208,42,F,Graduate,Married,Less than $40K,Blue,36,1,2,2393,1985,408,0.788,978,16,0.778,0.83
822063408,43,M,Unknown,Married,$40K - $60K,Blue,39,1,2,6111,2517,3594,0.632,1221,16,2.2,0.412
714490308,57,M,Graduate,Married,$80K - $120K,Blue,46,2,3,19270,1662,17608,1.186,1565,28,1.545,0.086
713356833,52,M,Graduate,Married,$80K - $120K,Blue,43,1,4,3710,2517,1193,1.541,1578,34,0.7,0.678
711402333,47,M,Doctorate,Single,Less than $40K,Blue,37,1,3,3235,797,2438,0.541,1493,32,1,0.246
708296883,44,F,Graduate,Single,$40K - $60K,Blue,38,1,0,11749,788,10961,0.688,1178,27,0.929,0.067
719154483,53,M,High School,Divorced,$60K - $80K,Blue,36,3,2,7753,2100,5653,0.839,991,26,0.733,0.271
717721458,45,M,College,Divorced,$60K - $80K,Blue,40,1,0,10408,1186,9222,1.689,2560,42,1.211,0.114
711112683,63,F,College,Married,Unknown,Blue,36,2,3,3967,1568,2399,1.236,1657,29,1.231,0.395
715674483,39,F,Post-Graduate,Single,Less than $40K,Blue,27,2,2,6205,2517,3688,0.939,1204,19,0.727,0.406
789322833,48,F,High School,Married,Less than $40K,Blue,38,3,3,8025,0,8025,0.654,673,18,0.8,0
789968058,51,M,Unknown,Single,$120K +,Blue,42,2,3,9036,2327,6709,0.649,1131,18,0.636,0.258
709919283,54,M,Graduate,Married,$80K - $120K,Blue,34,3,2,14926,2517,12409,1.996,1576,25,1.5,0.169
718744008,59,F,Graduate,Single,Less than $40K,Blue,36,2,3,6335,1128,5207,0.397,1217,20,0.667,0.178
767712558,59,M,College,Single,$60K - $80K,Blue,53,3,3,14979,0,14979,0.71,530,10,1,0
712950783,48,F,Uneducated,Married,Less than $40K,Blue,38,2,3,2732,0,2732,0.76,739,16,0.455,0
716104983,41,F,Graduate,Single,Less than $40K,Blue,32,3,2,2250,2117,133,1.162,1617,31,2.875,0.941
818839983,55,M,Graduate,Married,$120K +,Blue,50,2,0,10916,1536,9380,1.317,1592,34,1,0.141
772288758,47,F,Graduate,Married,Unknown,Blue,36,1,3,5349,1228,4121,0.728,1343,30,1.308,0.23
